text,label,,
pantene garnier whole blends or l'oreal hair expertise hair care,5,,
pasta sauce,2,,
pc entrees or swanson family skillets,2,,
pc frozen vegetables,0,,
pc organics carrots,0,,
pc organics grape tomatoes,0,,
pc organics royal gala apples,0,,
pc organics whole cremini or white mushrooms,0,,
pc roasted salted or blue menu roasted unsalted pistachios,2,,
pepperidge farm goldfish crackers,2,,
pepsi soft drinks,2,,
perrier sparkling water,2,,
philadelphia cream cheese product,2,,
pickles,2,,
pie pumpkins,3,,
piller's kolbassa,1,,
piller's sliced deli meat,1,,
pillsbury crescents or wraps,2,,
pillsbury pizza pops,2,,
pineapple,0,,
pomegranate,0,,
pork loin centre chops,1,,
pork shoulder blade steaks,1,,
pork tenderloin,1,,
pringles potato chips,2,,
purex liquid laundry detergent,5,,
quaker cereal,2,,
quaker chewy or dipps bars,2,,
quaker crispy minis,2,,
quaker dipps or chewy granola bars,2,,
raspberries,0,,
real bacon bits,1,,
real canadian natural spring water,2,,
red mangoes,0,,
red shepherd peppers,0,,
reddi bulk raw pepitas,2,,
ritz triscuit,2,,
roast and ground coffee,2,,
robin hood flour,2,,
robin hood oats,2,,
rockstar energy drinks,2,,
rogers best brown sugar,2,,
roma tomatoes,0,,
romaine hearts,0,,
rooster garlic,0,,
royale bathroom tissues,5,,
royale tiger towels,5,,
rutabagas,0,,
salsa,2,,
sausage,1,,
schneiders chicken wings,1,,
schneiders festive half ham,1,,
schneiders red hots or maple leaf top dogs wieners,1,,
scotsburn adl or baxter cream,2,,
seaquest cod sole haddock wild pollock fillets,1,,
seaquest colossal raw white shrimp,1,,
seaquest shrimp ring,1,,
seaquest sole cod basa pollock wild haddock or tilapia fillets,1,,
shredded cheese,4,,
silk non dairy refrigerated beverage,2,,
simply juice beverages or gold peak iced tea,2,,
skinny pop,2,,
skittles,2,,
small white potatoes,0,,
smart sweets candy,2,,
smoked steelhead salmon,1,,
soft drinks or sparkling water,2,,
softsoap liquid handsoap refill,5,,
sour cream,2,,
speciality potatoes,0,,
spinach,0,,
st hubert swiss chalet or montana's meat pies,1,,
stainless steel roaster with rack,5,,
stainless steel stock pot,5,,
starbucks coffee,2,,
starbucks coffee creamers,2,,
starburst or skittles pegged candy,2,,
steelhead trout fillet,1,,
strawberries,0,,
suraj basmati rice,2,,
sweet potatoes,0,,
the decadent cookie,3,,
thin crispy pizza,2,,
tide liquid laundry detergent,5,,
tide pod or gain flings,5,,
tim hortons soup,2,,
top blade steaks boneless,1,,
topped hummus,2,,
tropicana juice or juice blends,2,,
tropicana orange juice,2,,
tropicana tropics fruit beverages lemonades or pure leaf iced tea,2,,
twinings or red rose tea,2,,
unico pasta,2,,
unico tuna,1,,
vachon snack cakes,3,,
vaseline lotion,5,,
vegetables,0,,
vh cooking or dipping sauces,2,,
vim cream cleaners,5,,
whole bean coffee,2,,
whole chicken,1,,
whole dressed tilapia,1,,
wonder bread,3,,
world of flavours pork loin chops,1,,
yellow peaches or nectarines,0,,
yoplait source,4,,
yoplait yop,4,,
ziggy pasta,2,,
ziggy's salads,0,,
ziploc food storage bags,5,,
dairy,4,,
natural butter flavor,4,,
lactoferrin,4,,
condensed milk,4,,
hydrolyzed milk protein,4,,
nonfat milk,4,,
lactoglobulin,4,,
sweet whey,4,,
demineralized whey,4,,
ammonium caseinate,4,,
milk powder,4,,
sweetened condensed milk,4,,
goat milk,4,,
low-fat milk,4,,
cottage cheese,4,,
cheese,4,,
milk fat,4,,
zinc caseinate,4,,
acidophilus milk,4,,
iron caseinate,4,,
milk solids,4,,
sheep milk,4,,
sheep milk cheese,4,,
potassium caseinate,4,,
butter solids,4,,
calcium caseinate,4,,
custard,4,,
casein,4,,
malted milk,4,,
butter fat,4,,
sour milk solids,4,,
half & half,4,,
yogurt,4,,
ghee,4,,
hydrolyzed casein,4,,
paneer,4,,
pudding,4,,
delactosed whey,4,,
sour cream,4,,
lactulose,4,,
butter oil,4,,
cream,4,,
curd,4,,
whole milk,4,,
milk derivative,4,,
caseinate,4,,
milk,4,,
whey,4,,
whey powder,4,,
goat cheese,4,,
evaporated milk,4,,
sodium caseinate,4,,
lactose,4,,
whey protein concentrate,4,,
dry milk solids,4,,
butter esters,4,,
whipped topping,4,,
buttermilk,4,,
recaldent,4,,
skim milk,4,,
buttermilk powder,4,,
rennet casein,4,,
butter,4,,
whey protein hydrolysate,4,,
whipped cream,4,,
lactalbumin,4,,
milk protein,4,,
parmesan,4,,
brie,4,,
mozzarella,4,,
gouda,4,,
cheddar,4,,
sharp cheddar,4,,
blue cheese,4,,
munster,4,,
pecorino,4,,
feta,4,,
deli,1,,
front,1,,
topside,1,,
cornfed chicken,1,,
fillet,1,,
lamb,1,,
top bits,1,,
brisket,1,,
poussin,1,,
neck ends,1,,
guinea fowl,1,,
free-run eggs,1,,
rump,1,,
rump tail,1,,
silverside,1,,
smoked portions,1,,
whole sides,1,,
knuckle,1,,
vegetarian eggs,1,,
standard brown eggs,1,,
chump,1,,
pig,1,,
foie gras,1,,
whole ducks,1,,
shin,1,,
chuck roll,1,,
wild boar,1,,
butterfly,1,,
breast,1,,
flank,1,,
eggs,1,,
ribeye,1,,
leg,1,,
trim,1,,
mutton legs,1,,
supremes,1,,
rack,1,,
beef,1,,
best end,1,,
veal,1,,
venison,1,,
bakery,3,,
pudding,3,,
cake,3,,
tart,3,,
pastry,3,,
dessert,3,,
wedding,3,,
confection,3,,
gluten-free,3,,
bagel,3,,
cookie,3,,
frozen,3,,
quick-breads,3,,
bread,3,,
icing,3,,
frosting,3,,
doughnut,3,,
chocolate,3,,
custard,3,,
pie,3,,
muffin,3,,
danish,3,,
buns,3,,
english muffins,3,,
donuts,3,,
donut,3,,
raisin bread,3,,
rolls,3,,
baguette,3,,
crumpets,3,,
whole grain bread,3,,
whole wheat bread,3,,
gluten-free cake,3,,
bread sticks,3,,
bleach,5,,
downy fabric softener,5,,
downy laundry detergent,5,,
dawn professional dish soap,5,,
hand soap,5,,
coffee filters,5,,
no name paper plates,5,,
no name plastic cups,5,,
no name plastic cutlery,5,,
no name pie dish,5,,
aluminum foil,5,,
parchment paper,5,,
wax paper,5,,
goo gone,5,,
dove men plus care bodywash,5,,
dove men plus care shampoo,5,,
pantene shampoo,5,,
pantene conditioner,5,,
dove men plus care conditioner,5,,
olay moisturizer,5,,
arm and hammer deoderant,5,,
dove men deoderant,5,,
axe body spray,5,,
dove men body spray,5,,
dove beauty bar,5,,
revlon mascara waterproof,5,,
vaseline,5,,
banana boat sunscreen,5,,
l'oreal eyeliner,5,,
no name dish soap,5,,
no name dishwasher pods,5,,
